unix,date,symbol,open,high,low,close,Volume ETC,Volume USD,Index
1574899200,11/28/2019,ETC/USD,3.964,4.06,3.86,3.94,688370.68,173206.53,286
1574812800,11/27/2019,ETC/USD,3.884,4.053999999999999,3.6839999999999997,3.964,859987.54,221679.87,287
1574726400,11/26/2019,ETC/USD,3.7889999999999997,3.926,3.76,3.884,388732.55,100892.04,288
1574640000,11/25/2019,ETC/USD,3.707,3.9960000000000004,3.55,3.7889999999999997,782530.6,209781.13,289
1574553600,11/24/2019,ETC/USD,4.003,4.007,3.678,3.707,315228.97,81855.94,290
1574467200,11/23/2019,ETC/USD,3.883,4.084,3.81,4.003,526185.67,134438.68,291
1574380800,11/22/2019,ETC/USD,4.175,4.23,3.535,3.883,1738106.32,448572.9,292
1574294400,11/21/2019,ETC/USD,4.342,4.412,4.038,4.175,822126.48,195711.09,293
1574208000,11/20/2019,ETC/USD,4.3839999999999995,4.436,4.294,4.342,325159.11,74290.69,294
1574121600,11/19/2019,ETC/USD,4.35,4.526,4.246,4.3839999999999995,927347.33,212645.47,295
1574035200,11/18/2019,ETC/USD,4.618,4.626,4.168,4.35,1145569.23,260548.73,296
1573948800,11/17/2019,ETC/USD,4.629,4.6930000000000005,4.578,4.618,346400.0,74627.77,297
1573862400,11/16/2019,ETC/USD,4.559,4.6739999999999995,4.538,4.629,241368.5,52354.71,298
1573776000,11/15/2019,ETC/USD,4.747,4.798,4.45,4.559,715917.5,155077.71,299
1573689600,11/14/2019,ETC/USD,4.838,4.85,4.641,4.747,676742.05,143212.54,300
1573603200,11/13/2019,ETC/USD,4.896,4.91,4.813,4.838,318443.34,65689.02,301
1573516800,11/12/2019,ETC/USD,4.89,4.9319999999999995,4.789,4.896,363488.52,74649.05,302
1573430400,11/11/2019,ETC/USD,5.034,5.067,4.82,4.89,258047.85,52395.63,303
1573344000,11/10/2019,ETC/USD,4.9510000000000005,5.18,4.91,5.034,1150961.36,229330.22,304
1573257600,11/9/2019,ETC/USD,4.967,5.047,4.914,4.9510000000000005,437144.56,87934.59,305
1573171200,11/8/2019,ETC/USD,5.242999999999999,5.284,4.762,4.967,1195245.17,237887.38,306
1573084800,11/7/2019,ETC/USD,5.085,5.365,5.038,5.242999999999999,1792303.55,347260.33,307
1572998400,11/6/2019,ETC/USD,5.033,5.199,4.994,5.085,899627.81,177382.22,308
1572912000,11/5/2019,ETC/USD,4.971,5.084,4.857,5.033,725002.57,144813.23,309
1572825600,11/4/2019,ETC/USD,4.872,5.045,4.854,4.971,527226.96,106291.06,310
1572739200,11/3/2019,ETC/USD,4.936,5.003,4.838,4.872,190159.2,38718.45,311
1572652800,11/2/2019,ETC/USD,4.88,5.05,4.843999999999999,4.936,495722.2,100407.05,312
1572566400,11/1/2019,ETC/USD,4.82,4.95,4.796,4.88,635098.68,130840.14,313
1572480000,10/31/2019,ETC/USD,4.792,4.973,4.692,4.82,1476139.23,304703.29,314
1572393600,10/30/2019,ETC/USD,4.933,4.985,4.724,4.792,968245.81,200448.33,315
1572307200,10/29/2019,ETC/USD,4.7410000000000005,5.1579999999999995,4.7410000000000005,4.933,1775761.66,356563.76,316
1572220800,10/28/2019,ETC/USD,4.788,5.043,4.734,4.7410000000000005,959616.76,197633.08,317
1572134400,10/27/2019,ETC/USD,4.586,4.948,4.5680000000000005,4.788,1345981.52,282932.34,318
1572048000,10/26/2019,ETC/USD,4.763,5.25,4.481,4.586,2392879.16,495312.67,319
1571961600,10/25/2019,ETC/USD,4.263999999999999,5.008,4.232,4.763,1753386.84,371234.78,320
1571875200,10/24/2019,ETC/USD,4.26,4.388,4.2010000000000005,4.263999999999999,587550.06,137461.88,321
1571788800,10/23/2019,ETC/USD,4.46,4.489,4.011,4.26,1209804.83,285369.31,322
1571702400,10/22/2019,ETC/USD,4.599,4.658,4.4110000000000005,4.46,610931.58,133602.04,323
1571616000,10/21/2019,ETC/USD,4.539,4.68,4.36,4.599,1007399.33,220909.8,324
1571529600,10/20/2019,ETC/USD,4.428999999999999,4.615,4.372,4.539,426040.4,95018.44,325
1571443200,10/19/2019,ETC/USD,4.439,4.4719999999999995,4.37,4.428999999999999,397021.97,89738.82,326
1571356800,10/18/2019,ETC/USD,4.511,4.609,4.36,4.439,575448.14,129031.18,327
